t_us,E_eV,f,s
0.05,0.00035481,0.0,0.0
0.1033,0.00035481,0.0,0.0
0.11013,0.00035481,0.0,0.0
0.1174,0.00035481,0.0,0.0
0.12515,0.00035481,0.0,0.0
0.13342,0.00035481,0.0,0.0
0.14223,0.00035481,0.0,0.0
0.15163,0.00035481,0.0,0.0
0.16164,0.00035481,0.0,0.0
0.17232,0.00035481,0.0,0.0
0.1837,0.00035481,0.0,0.0
0.19583,0.00035481,0.0,0.0
0.20877,0.00035481,0.0,0.0
0.22256,0.00035481,0.0,0.0
0.23726,0.00035481,0.0,0.0
0.25293,0.00035481,0.0,0.0
0.26964,0.00035481,0.0,0.0
0.28745,0.00035481,0.0,0.0
0.30643,0.00035481,0.0,0.0
0.32667,0.00035481,0.0,0.0
0.34825,0.00035481,0.0,0.0
0.37125,0.00035481,0.0,0.0
0.39577,0.00035481,0.0,0.0
0.42191,0.00035481,0.0,0.0
0.44978,0.00035481,0.0,0.0
0.47949,0.00035481,0.0,0.0
0.51116,0.00035481,0.0,0.0
0.54492,0.00035481,0.0,0.0
0.58091,0.00035481,0.0,0.0
0.61928,0.00035481,0.0,0.0
0.66019,0.00035481,0.0,0.0
0.70379,0.00035481,0.0,0.0
0.75028,0.00035481,0.0,0.0
0.79983,0.00035481,0.0,0.0
0.85266,0.00035481,0.0,0.0
0.90898,0.00035481,0.0,0.0
0.96902,0.00035481,0.0,0.0
1.033,0.00035481,0.0,0.0
1.1013,0.00035481,0.0,0.0
1.174,0.00035481,0.0,0.0
1.2515,0.00035481,0.0,0.0
1.3342,0.00035481,0.0,0.0
1.4223,0.00035481,0.0,0.0
1.5163,0.00035481,0.0,0.0
1.6164,0.00035481,0.0,0.0
1.7232,0.00035481,0.0,0.0
1.837,0.00035481,0.0,0.0
1.9583,0.00035481,0.0,0.0
2.0877,0.00035481,0.0,0.0
2.2256,0.00035481,0.0,0.0
2.3726,0.00035481,0.0,0.0
2.5293,0.00035481,0.0,0.0
2.6964,0.00035481,0.0,0.0
2.8745,0.00035481,0.0,0.0
3.0643,0.00035481,0.0,0.0
3.2667,0.00035481,0.0,0.0
3.4825,0.00035481,0.0,0.0
3.7125,0.00035481,0.0,0.0
3.9577,0.00035481,0.0,0.0
4.2191,0.00035481,0.0,0.0
4.4978,0.00035481,0.0,0.0
4.7949,0.00035481,0.0,0.0
5.1116,0.00035481,0.0,0.0
5.4492,0.00035481,0.0,0.0
5.8091,0.00035481,0.0,0.0
6.1928,0.00035481,0.0,0.0
6.6019,0.00035481,0.0,0.0
7.0379,0.00035481,0.0,0.0
7.5028,0.00035481,0.0,0.0
7.9983,0.00035481,0.0,0.0
8.5266,0.00035481,0.0,0.0
9.0898,0.00035481,0.0,0.0
9.6902,0.00035481,0.0,0.0
10.33,0.00035481,0.0,0.0
11.013,0.00035481,0.0,0.0
11.74,0.00035481,0.0,0.0
12.515,0.00035481,0.0,0.0
13.342,0.00035481,0.0,0.0
14.223,0.00035481,0.0,0.0
15.163,0.00035481,0.0,0.0
16.164,0.00035481,0.0,0.0
17.232,0.00035481,0.0,0.0
18.37,0.00035481,0.0,0.0
19.583,0.00035481,0.0,0.0
20.877,0.00035481,0.0,0.0
22.256,0.00035481,0.0,0.0
23.726,0.00035481,0.0,0.0
25.293,0.00035481,0.0,0.0
26.964,0.00035481,0.0,0.0
28.745,0.00035481,0.0,0.0
30.643,0.00035481,0.0,0.0
32.667,0.00035481,0.0,0.0
34.825,0.00035481,0.0,0.0
37.125,0.00035481,0.0,0.0
39.577,0.00035481,0.0,0.0
42.191,0.00035481,787250000.0,787250000.0
44.978,0.00035481,0.0,0.0
47.949,0.00035481,0.0,0.0
51.116,0.00035481,129720.0,112910.0
54.492,0.00035481,773950000.0,771780000.0
58.091,0.00035481,2411200000.0,1761900000.0
61.928,0.00035481,16721000000.0,4436000000.0
66.019,0.00035481,26696000000.0,5656900000.0
70.379,0.00035481,28479000000.0,5584800000.0
75.028,0.00035481,60273000000.0,7811400000.0
79.983,0.00035481,76900000000.0,8912700000.0
85.266,0.00035481,129600000000.0,20957000000.0
90.898,0.00035481,115540000000.0,9960000000.0
96.902,0.00035481,125920000000.0,9784100000.0
103.3,0.00035481,134560000000.0,9472800000.0
110.13,0.00035481,145100000000.0,9808600000.0
117.4,0.00035481,153340000000.0,9292200000.0
125.15,0.00035481,142870000000.0,8657700000.0
133.42,0.00035481,138160000000.0,8027100000.0
142.23,0.00035481,125250000000.0,7314700000.0
151.63,0.00035481,107190000000.0,6474500000.0
161.64,0.00035481,90984000000.0,5631900000.0
172.32,0.00035481,60499000000.0,4307500000.0
183.7,0.00035481,26352000000.0,2714200000.0
195.83,0.00035481,14796000000.0,1867200000.0
208.77,0.00035481,9045500000.0,1377600000.0
222.56,0.00035481,5647100000.0,1243500000.0
237.26,0.00035481,2877400000.0,691730000.0
252.93,0.00035481,1596000000.0,467470000.0
269.64,0.00035481,1637900000.0,469760000.0
287.45,0.00035481,1595200000.0,490700000.0
306.43,0.00035481,761300000.0,318680000.0
326.67,0.00035481,1048500000.0,383430000.0
348.25,0.00035481,70325000.0,70325000.0
371.25,0.00035481,358310000.0,189830000.0
395.77,0.00035481,137220000.0,88839000.0
421.91,0.00035481,165250000.0,99858000.0
449.78,0.00035481,79103000.0,79103000.0
479.49,0.00035481,96745000.0,96745000.0
511.16,0.00035481,0.0,0.0
544.92,0.00035481,0.0,0.0
580.91,0.00035481,0.0,0.0
619.28,0.00035481,0.0,0.0
660.19,0.00035481,0.0,0.0
703.79,0.00035481,0.0,0.0
750.28,0.00035481,0.0,0.0
799.83,0.00035481,0.0,0.0
852.66,0.00035481,0.0,0.0
908.98,0.00035481,0.0,0.0
969.02,0.00035481,0.0,0.0
1033.0,0.00035481,0.0,0.0
1101.3,0.00035481,0.0,0.0
1174.0,0.00035481,0.0,0.0
1251.5,0.00035481,28389000.0,28389000.0
1334.2,0.00035481,0.0,0.0
1422.3,0.00035481,0.0,0.0
1516.3,0.00035481,0.0,0.0
1616.4,0.00035481,0.0,0.0
1723.2,0.00035481,0.0,0.0
1837.0,0.00035481,0.0,0.0
1958.3,0.00035481,0.0,0.0
2087.7,0.00035481,0.0,0.0
2225.6,0.00035481,0.0,0.0
2372.6,0.00035481,0.0,0.0
2529.3,0.00035481,0.0,0.0
2696.4,0.00035481,0.0,0.0
2874.5,0.00035481,0.0,0.0
3064.3,0.00035481,0.0,0.0
3266.7,0.00035481,0.0,0.0
3482.5,0.00035481,0.0,0.0
3712.5,0.00035481,0.0,0.0
3957.7,0.00035481,0.0,0.0
4219.1,0.00035481,0.0,0.0
4497.8,0.00035481,0.0,0.0
4794.9,0.00035481,0.0,0.0
5111.6,0.00035481,0.0,0.0
5449.2,0.00035481,0.0,0.0
5809.1,0.00035481,0.0,0.0
6192.8,0.00035481,0.0,0.0
6601.9,0.00035481,0.0,0.0
7037.9,0.00035481,0.0,0.0
7502.8,0.00035481,0.0,0.0
7998.3,0.00035481,0.0,0.0
8526.6,0.00035481,0.0,0.0
9089.8,0.00035481,0.0,0.0
9690.2,0.00035481,0.0,0.0
55000.0,0.00035481,0.0,0.0
550000.0,0.00035481,0.0,0.0
5500000.0,0.00035481,0.0,0.0
